"Title","has research problem","population","examined (sub-)group","has data","has location","has beginning","has end","compared time before the covid-19 pandemic","has sample size","has subject selection method","indicator for well-being","operationalisation of dependent variable","well-being: mean value before covid-19 pandemic","well-being: mean value during covid-19 pandemic","identification method","effect size","effect size - explanation","control variables"
"Individual differences and changes in subjective wellbeing during the early stages of the COVID-19 pandemic.","Effect of the COVID-19 pandemic on well-being","Adults who work full-time","all","own survey ","Germany, ","2020-03-01","2020-05-01","December 2019","887","Probability, ","Life satisfaction","7-point scale ranging from 1-very dissatisfied to 7-very satisfied","N.A.","N.A.","Unconditional multivariate discontinuous latent growth curve model","-0.11","B= -0.11","Household income, Education, Gender, Age"
"The Impact of the Coronavirus Lockdown on Mental Health: Evidence from the US","Effect of the COVID-19 pandemic on well-being","All adults","women","own survey ","United States of America, ","2020-03-24","2020-04-11","N.A.","8003","Probability","Mental health","WHO 5-question module","N.A.","N.A.","Regression","-0.1261 ","-0.1261 SD ","Household income, Relationship, Education, Gender"
"The Impact of the Coronavirus Lockdown on Mental Health: Evidence from the US","Effect of the COVID-19 pandemic on well-being","All adults","men","own survey ","United States of America","2020-03-24","2020-04-11","N.A.","8003","Probability","Mental health","WHO 5-question module","N.A.","N.A.","Regression","-0.0095 ","-0.0095 SD ","Relationship, Household income, Gender, Education"
"Alleinlebende verkraften die Pandemie erstaunlich gut","Effect of the COVID-19 pandemic on well-being","All adults","couples with children","SOEP-CoV, SOEP 2019","Germany","2020-04-01","2020-06-28","2019","6694 ","Probability","Life satisfaction","11-point Likert scale ranging from 0 (not satisfied at all) to 10 (very satisfied)","7.74","7.30","N.A.","N.A.","N.A.","N.A."
"Parental well-being in times of Covid-19 in Germany","Effect of the COVID-19 pandemic on well-being","All persons aged 18 or older who are eligible to vote in Germany","parents with children under 3 years","SOEP 2018, COMPASS 2020","Germany","2020-05-01","2020-07-01","2018","5764","Probability","Life satisfaction","11-point Likert scale ranging from 0 (not satisfied at all) to 10 (very satisfied)","N.A.","N.A.","Difference in differences, ","-0.28 ","-0.28 SD (relative to individuals without children)","Household income, Household size, Age, Occupation, Employment status, Gender, Education, State"
"Parental well-being in times of Covid-19 in Germany","Effect of the COVID-19 pandemic on well-being","All persons aged 18 or older who are eligible to vote in Germany","parents with children 3-5 years","SOEP 2018, COMPASS 2020","Germany","2020-05-01","2020-07-01","2018","5764","Probability","Life satisfaction","11-point Likert scale ranging from 0 (not satisfied at all) to 10 (very satisfied)","N.A.","N.A.","Difference in differences","-0.21","-0.21 SD (relative to individuals without children)","State, Occupation, Household income, Household size, Gender, Employment status, Education, Age"
"Parental well-being in times of Covid-19 in Germany","Effect of the COVID-19 pandemic on well-being","All persons aged 18 or older who are eligible to vote in Germany","parents with children 6-10 years","SOEP 2018, COMPASS 2020","Germany","2020-05-01","2020-07-01","2018","5764","Probability","Life satisfaction","11-point Likert scale ranging from 0 (not satisfied at all) to 10 (very satisfied)","N.A.","N.A.","Difference in differences","-0.13 ","-0.13 SD (relative to individuals without children)","State, Occupation, Household size, Household income, Gender, Employment status, Education, Age"
"Parental well-being in times of Covid-19 in Germany","Effect of the COVID-19 pandemic on well-being","All persons aged 18 or older who are eligible to vote in Germany","parents with children 11-15 years","SOEP 2018, COMPASS 2020","Germany","2020-05-01","2020-07-01","2018","5764","Probability","Life satisfaction","11-point Likert scale ranging from 0 (not satisfied at all) to 10 (very satisfied)","N.A.","N.A.","Difference in differences","0.0 ","0.0 (relative to individuals without children)","State, Occupation, Household income, Household size, Gender, Employment status, Education, Age"
"Who is most affected by the Corona crisis? An analysis of changes in stress and well-being in Switzerland","Effect of the COVID-19 pandemic on well-being","All adults","women","Swiss Household Panel","Switzerland","2020-05-12","2020-06-30","September 2019 - March 2020","5859","Probability","Life satisfaction","11-point Likert scale ranging from 0 ‘not at all satisfied’ to 10 ‘completely satisfied","N.A.","N.A.","Regression","-0.129","-0.129 SD","Survey mode, Nationality, Linguistic region"
"Who is most affected by the Corona crisis? An analysis of changes in stress and well-being in Switzerland","Effect of the COVID-19 pandemic on well-being","All adults","men","Swiss Household Panel","Switzerland","2020-05-12","2020-06-30","September 2019 - March 2020","5859","Probability","Life satisfaction","11-point Likert scale ranging from 0 ‘not at all satisfied’ to 10 ‘completely satisfied","N.A.","N.A.","Regression","-0.045","-0.045 SD","Survey mode, Nationality, Linguistic region"
"The COVID-19 pandemic and subjective well-being: longitudinal evidence on satisfaction with work and family","Effect of the COVID-19 pandemic on well-being","General population in Germany aged 16–75","all","German Internet Panel","Germany","2020-03-20","2020-06-10","September 2019","3600","Probability","Work satisfaction","11-point scale from 0 to 10 with 0 being ‘completely dissatisfied’ and 10 being ‘completely satisfied’","N.A.","N.A.","First-difference models","-0.22","-0.22 SD","Income change, Relationship, Child birth"
