"Title","Continent","Habitat","has research problem","hypothesis","Indicator for enemy release","Investigated species","Number of species","Release of which kind of enemies?","Research Method","stand of hypothesis","Study date","Sub-hypothesis","type of experiment","Which species are compared?"
"Insect assemblages associated with the exotic riparian shrub Russian olive (Elaeagnaceae), and co-occurring native shrubs in British Columbia, Canada","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2016","ANI","Field","Aliens and natives"
"Pollinators and predators at home and away: do they determine invasion success for Australian Acacia in New Zealand?","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2015","INiD","Field","Invasive and non-invasive aliens"
"Pollinators and predators at home and away: do they determine invasion success for Australian Acacia in New Zealand?","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","3","no differentiation","Observational or correlational","Questioned","2015","HAD","Field","Aliens in native and invaded range"
"Invasive plant species may serve as a biological corridor for the invertebrate fauna of naturally isolated hosts","Africa","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Undecided","2015","ANI","Field","Aliens and natives"
"Natural selection on plant resistance to herbivores in the native and introduced range","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2015","HAD","Field","Aliens in native and invaded range"
"Parasites of non-native freshwater fishes introduced into England and Wales suggest enemy release and parasite acquisition","Europe","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","7","no differentiation","Observational or correlational","Supported","2015","HAI","Field","Aliens in native and invaded range"
"No release for the wicked: enemy release is dynamic and not associated with invasiveness","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","11","no differentiation","Experimental","Questioned","2015","INiD","Exclosure","Invasive and non-invasive aliens"
"No release for the wicked: enemy release is dynamic and not associated with invasiveness","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","36","no differentiation","Experimental","Questioned","2015","AND","Exclosure","Aliens and natives"
"Helminth species richness of introduced and native grey mullets (Teleostei: Mugilidae)","Europe","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","1","no differentiation","Observational or correlational","Questioned","2015","ANI","Field","Aliens and natives"
"Parasitism by water mites in native and exotic Corixidae: Are mites limiting the invasion of the water boatman Trichocorixa verticalis (Fieber, 1851)?","Europe","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Insects","1","no differentiation","Observational or correlational","Questioned","2015","ANI","Field","Aliens and natives"
"Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","12","no differentiation","Observational or correlational","Supported","2015","HAD","Field","Aliens in native and invaded range"
"Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","12","no differentiation","Observational or correlational","Supported","2015","HAI","Field","Aliens in native and invaded range"
"Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","47","no differentiation","Observational or correlational","Supported","2015","AND","Field","Aliens and natives"
"Phytophagous Insects on Native and Non-Native Host Plants: Combining the Community Approach and the Biogeographical Approach","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","47","no differentiation","Observational or correlational","Supported","2015","ANI","Field","Aliens and natives"
"The parasite community of gobiid fishes (Actinopterygii: Gobiidae) from the Lower Volga River region","Europe","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","1","no differentiation","Observational or correlational","Undecided","2015","ANI","Field","Aliens and natives"
"Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2015","INiI","Field","Invasive and non-invasive aliens"
"Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2015","INiD","Field","Invasive and non-invasive aliens"
"Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2015","ANI","Field","Aliens and natives"
"Comparison of invertebrate herbivores on native and non-native Senecio species: Implications for the enemy release hypothesis","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2015","AND","Field","Aliens and natives"
"Non-native plant invader renders suitable habitat unsuitable","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Supported","2015","AND","Enclosure","Aliens and natives"
"Non-native plant invader renders suitable habitat unsuitable","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Experimental","Supported","2015","ANI","Enclosure","Aliens and natives"
"Specialist enemies, generalist weapons and the potential spread of exotic pathogens: malaria parasites in a highly invasive bird","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Birds","1","no differentiation","Observational or correlational","Undecided","2015","HAI","Field","Aliens in native and invaded range"
"Specialist enemies, generalist weapons and the potential spread of exotic pathogens: malaria parasites in a highly invasive bird","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","","","no differentiation","Observational or correlational","Undecided","2015","ANI","Field","Aliens and natives"
"Enemy release and genetic founder effects in invasive killer shrimp populations of Great Britain","Europe","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Crustaceans","1","no differentiation","Observational or correlational","Supported","2015","HAI","Field","Aliens in native and invaded range"
"An ecological comparison of Impatiens glandulifera Royle in the native and introduced range","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2014","HAD","Field","Aliens in native and invaded range"
"Release from herbivory does not confer invasion success for Eugenia uniflora in Florida","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2014","P INi","Enclosure","Invasive and non-invasive aliens"
"Release from herbivory does not confer invasion success for Eugenia uniflora in Florida","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Questioned","2014","INID","Enclosure","Invasive and non-invasive aliens"
"Release from herbivory does not confer invasion success for Eugenia uniflora in Florida","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2014","P AN","Enclosure","Aliens and natives"
"Release from herbivory does not confer invasion success for Eugenia uniflora in Florida","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Questioned","2014","AND","Enclosure","Aliens and natives"
"Grassland fires may favor native over introduced plants by reducing pathogen loads","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","5","no differentiation","Observational or correlational","Undecided","2014","AND","Field","Aliens and natives"
"Macroparasite Fauna of Alien Grey Squirrels (Sciurus carolinensis): Composition, Variability and Implications for Native Species","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Mammals","1","no differentiation","Observational or correlational","Supported","2014","HAI","Field","Aliens in native and invaded range"
"Biotic resistance to plant invasion in grassland: Does seed predation increase with resident plant diversity?","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","18","no differentiation","Experimental","Questioned","2014","AND","Enclosure","Aliens and natives"
"Invasive plants escape from suppressive soil biota at regional scales","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","6","no differentiation","Experimental","Undecided","2014","P HA","Lab","Aliens in native and invaded range"
"Determining the origin of invasions and demonstrating a lack of enemy release from microsporidian pathogens in common wasps (Vespula vulgaris)","Oceania, South-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Insects","1","no differentiation","Observational or correlational","Questioned","2014","HAI","Field","Aliens in native and invaded range"
"Parasitization of invasive gobiids in the eastern part of the Central trans-European corridor of invasion of Ponto-Caspian hydrobionts","Europe","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","4","no differentiation","Observational or correlational","Undecided","2014","HAI","Field","Aliens in native and invaded range"
"High water-use efficiency and growth contribute to success of non-native Erodium cicutarium in a Sonoran Desert winter annual community","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2014","P AN","Enclosure","Aliens and natives"
"Parasites and genetic diversity in an invasive bumblebee","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Insects","1","no differentiation","Observational or correlational","Questioned","2014","ANI","Field","Aliens and natives"
"Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","7","no differentiation","Experimental","Questioned","2014","INiD","Enclosure","Invasive and non-invasive aliens"
"Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","15","no differentiation","Experimental","Undecided","2014","AND","Enclosure","Aliens and natives"
"Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","7","no differentiation","Experimental","Questioned","2014","P Ini","Enclosure","Invasive and non-invasive aliens"
"Little evidence for release from herbivores as a driver of plant invasiveness from a multi-species herbivore-removal experiment","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","15","no differentiation","Experimental","Questioned","2014","P AN","Enclosure","Aliens and natives"
"Escape from parasitism by the invasive alien ladybird, Harmonia axyridis","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Insects","1","no differentiation","Experimental","Supported","2014","ANI","Enclosure","Aliens and natives"
"Escape from parasitism by the invasive alien ladybird, Harmonia axyridis","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Insects","1","no differentiation","Observational or correlational","Supported","2014","ANI","Field","Aliens and natives"
"Herbivores on native and exotic Senecio plants: is host switching related to plant novelty and insect diet breadth under field conditions?","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","2","no differentiation","Observational or correlational","Undecided","2014","ANI","Field","Aliens and natives"
"The herbivorous arthropods associated with the invasive alien plant, Arundo donax, and the native analogous plant, Phragmites australis, in the Free State Province, South Africa","Africa","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2014","ANI","Field","Aliens and natives"
"Lack of enemy release for an invasive leafroller in California: temporal patterns and influence of host plant origin","Asia, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Insects","1","Specialists","Observational or correlational","Questioned","2014","HAIs","Field","Aliens in native and invaded range"
"Lack of enemy release for an invasive leafroller in California: temporal patterns and influence of host plant origin","Asia, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Insects","1","no differentiation","Observational or correlational","Questioned","2014","HAI","Field","Aliens in native and invaded range"
"Two tests of enemy release of commonly co-occurring bunchgrasses native in Europe and introduced in the United States","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","3","no differentiation","Observational or correlational","Undecided","2014","HAD","Field","Aliens in native and invaded range"
"Does enemy loss cause release? A biogeographical comparison of parasitoid effects on an introduced insect","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Insects","1","no differentiation","Experimental","Questioned","2013","P HA","Enclosure","Aliens in native and invaded range"
"Does enemy loss cause release? A biogeographical comparison of parasitoid effects on an introduced insect","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Insects","1","no differentiation","Observational or correlational","Supported","2013","HAI","Field","Aliens in native and invaded range"
"Biogeographic comparisons of herbivore attack, growth and impact of Japanese knotweed between Japan and France","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Supported","2013","HAI","Field","Aliens in native and invaded range"
"Biogeographic comparisons of herbivore attack, growth and impact of Japanese knotweed between Japan and France","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2013","HAD","Field","Aliens in native and invaded range"
"Comparison of phototrophic shell-degrading endoliths in invasive and native populations of the intertidal mussel Mytilus galloprovincialis","Africa, Europe","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Molluscs","1","no differentiation","Observational or correlational","Questioned","2013","HAD","Field","Aliens in native and invaded range"
"Mortality factors affecting Agrilus auroguttatus Schaeffer (Coleoptera: Buprestidae) eggs in the native and invaded ranges","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Insects","1","no differentiation","Observational or correlational","Questioned","2013","HAD","Field","Aliens in native and invaded range"
"Exotic Lonicera species both escape and resist specialist and generalist herbivores in the introduced range in North America","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2013","AND","Field","Aliens and natives"
"Do alien plants escape from natural enemies of congeneric residents? Yes but not from all","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","168","Specialists","Observational or correlational","Supported","2013","AND","Enclosure","Aliens and natives"
"Do alien plants escape from natural enemies of congeneric residents? Yes but not from all","Asia, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","168","Generalists","Observational or correlational","Questioned","2013","AND","Enclosure","Aliens and natives"
"Does time since introduction influence enemy release of an invasive weed?","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2013","ANI","Field","Aliens and natives"
"Does time since introduction influence enemy release of an invasive weed?","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2013","AND","Field","Aliens and natives"
"Enemy damage of exotic plant species is similar to that of natives and increases with productivity","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","12","no differentiation","Observational or correlational","Questioned","2013","AND","Field","Aliens and natives"
"Reduced seed predation after invasion supports enemy release in a broad biogeographical survey","Africa","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2013","HAD","Field","Aliens in native and invaded range"
"Arthropod Communities on Native and Nonnative Early Successional Plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","6","no differentiation","Experimental","Supported","2013","ANI","Enclosure","Aliens and natives"
"Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects","South-America","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Fishes","1","no differentiation","Observational or correlational","Supported","2013","P HA","Field","Aliens in native and invaded range"
"Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects","South-America","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","1","no differentiation","Observational or correlational","Questioned","2013","HAI","Field","Aliens in native and invaded range"
"Parasites of the fish Cichla piquiti (Cichlidae) in native and invaded Brazilian basins: release not from the enemy, but from its effects","South-America","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","1","no differentiation","Observational or correlational","Undecided","2013","ANI","Field","Aliens and natives"
"Invasive Eupatorium adenophorum suffers lower enemy impact on carbon assimilation than native congeners","Asia","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2012","AND","Enclosure","Aliens and natives"
"Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2012","P AN","Enclosure","Aliens and natives"
"Combined effects of plant competition and insect herbivory hinder invasiveness of an introduced thistle","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2012","AND","Field","Aliens and natives"
"Herbivory by an introduced Asian weevil negatively affects population growth of an invasive Brazilian shrub in Florida","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2012","P AN","Enclosure","Aliens and natives"
"Herbivory by an introduced Asian weevil negatively affects population growth of an invasive Brazilian shrub in Florida","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2012","AND","Enclosure","Aliens and natives"
"Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe","South-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","3","no differentiation","Experimental","Questioned","2012","P AN","Enclosure","Aliens and natives"
"Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe","South-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","5","no differentiation","Observational or correlational","Questioned","2012","ANI","Field","Aliens and natives"
"Foliar herbivory and its effects on plant growth in native and exotic species in the Patagonian steppe","South-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","5","no differentiation","Observational or correlational","Questioned","2012","AND","Field","Aliens and natives"
"Invading from the garden? A comparison of leaf herbivory for exotic and native plants in natural and ornamental settings","","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","11","no differentiation","Observational or correlational","Questioned","2012","INiD","Field","Invasive and non-invasive aliens"
"Invading from the garden? A comparison of leaf herbivory for exotic and native plants in natural and ornamental settings","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","3","no differentiation","Observational or correlational","Supported","2012","AND","Field","Aliens and natives"
"Biogeographical comparison of the invasive Lepidium draba in its native, expanded and introduced ranges","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Specialists","Observational or correlational","Supported","2012","HAIs","Field","Aliens in native and invaded range"
"Biogeographical comparison of the invasive Lepidium draba in its native, expanded and introduced ranges","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Undecided","2012","HAD","Field","Aliens in native and invaded range"
"Coexistence between native and exotic species is facilitated by asymmetries in competitive ability and susceptibility to herbivores","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","3","no differentiation","Experimental","Questioned","2012","P AN","Enclosure","Aliens and natives"
"Coexistence between native and exotic species is facilitated by asymmetries in competitive ability and susceptibility to herbivores","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","101","no differentiation","Observational or correlational","Questioned","2012","AND","Field","Aliens and natives"
"Invasive species are less parasitized than native competitors, but for how long? The case of the round goby in the Great Lakes-St. Lawrence Basin","North-America","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Fishes","1","no differentiation","Observational or correlational","Supported","2012","ANI","Field","Aliens and natives"
"Contrasting patterns of herbivore and predator pressure on invasive and native plants","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","2","no differentiation","Observational or correlational","Supported","2012","ANI","Field","Aliens and natives"
"Impact of Acroptilon repens on co-occurring native plants is greater in the invader's non-native range","Asia","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2012","P A","Enclosure","Only aliens"
"Parasites and invasions: a biogeographic examination of parasites and hosts in native and introduced ranges","North-America","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Molluscs","2","no differentiation","Observational or correlational","Supported","2012","HAI","Field","Aliens in native and invaded range"
"Invertebrate community composition differs between invasive herb alligator weed and native sedges","Oceania","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Specialists","Observational or correlational","Questioned","2012","ANIs","Field","Aliens and natives"
"Invertebrate community composition differs between invasive herb alligator weed and native sedges","Oceania","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Generalists","Observational or correlational","Questioned","2012","ANIg","Field","Aliens and natives"
"Invertebrate community composition differs between invasive herb alligator weed and native sedges","Oceania","Freshwater","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2012","ANI","Field","Aliens and natives"
"Exploring the potential for climatic factors, herbivory, and co-occurring vegetation to shape performance in native and introduced populations of Verbascum thapsus","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Undecided","2012","HAI","Field","Aliens in native and invaded range"
"Exploring the potential for climatic factors, herbivory, and co-occurring vegetation to shape performance in native and introduced populations of Verbascum thapsus","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2012","HAD","Field","Aliens in native and invaded range"
"Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","3","no differentiation","Experimental","Questioned","2011","P AN","Enclosure","Aliens and natives"
"Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","4","no differentiation","Observational or correlational","Undecided","2011","INiD","Field","Invasive and non-invasive aliens"
"Relationships among leaf damage, natural enemy release, and abundance in exotic and native prairie plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","9","no differentiation","Observational or correlational","Undecided","2011","AND","Field","Aliens and natives"
"Population regulation by enemies of the grass Brachypodium sylvaticum: demography in native and invaded ranges","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Supported","2011","P HA","Enclosure","Aliens in native and invaded range"
"Population regulation by enemies of the grass Brachypodium sylvaticum: demography in native and invaded ranges","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Questioned","2011","HAD","Enclosure","Aliens in native and invaded range"
"Biotic resistance via granivory: establishment by invasive, naturalized, and native asters reflects generalist preference","North-America","terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","Generalists","Experimental","Questioned","2011","P Ini","Enclosure","Invasive and non-invasive aliens"
