"Title","has research problem","type of cyclodextrin","uses drug","produces","produces/cd-acetazolamide complex/decreases","produces/cd-acetazolamide complex/increases","produces/cd-cyclosporine a complex/does not cause","produces/cd-cyclosporine a complex/increases","produces/cd-dexamethasone complex/increases","produces/cd-dorzolamide complex/increases","produces/cd-hydrocortisone complex/increases","produces/cd-pilocarpine complex/increases","produces/cyclodextrin solution/does not cause","produces/cd-buserelin complex/increases","produces/cd-deferoxamine complex/increases","produces/cd-disoxaril complex/increases","produces/cd-17β-estradiol/increases","produces/cd-insulin/increases","produces/cd-midazolam/increases","produces/cd-prostaglandin e1/increases","produces/cd- budesonide/increases","produces/cd- insulin complex/increases","produces/cd-insulin complex/increases","produces/cd- recombinant human growth hormone/increases","produces/cd- rifampicin complex/increases","produces/cd-salmon calictonin/increases","produces/cd-voriconazole/increases"
"Nasal Insulin Delivery with Dimethyl-β-Cyclodextrin as an Absorption Enhancer in Rabbits: Powder More Effective than Liquid Formulations","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD)","Insulin","CD-Insulin","","","","","","","","","","","","","","Nasal bioavailability","","","","","","","","",""
"Cyclodextrin solubilization of benzodiazepines: formulation of midazolam nasal spray","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Sulfobutylether-β-cyclodextrin (SBEβCD)","Midazolam","CD-midazolam","","","","","","","","","","","","","","","Midazolam solulbility","","","","","","","",""
"Preparation of prostaglandin E1-hydroxypropyl-β-cyclodextrin complex and its nasal delivery in rats","Nasal drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","2-hydroxypropyl-β-cyclodextrin (HP-β-CD) ","Prostaglandin E1","CD-Prostaglandin E1","","","","","","","","","","","","","","","","Nasal bioavailability, Prostaglandin E1 solubility","","","","","","",""
"Interest of cyclodextrins in spray-dried microparticles formulation for sustained pulmonary delivery of budesonide","Pulmonary drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","2-hydroxypropyl-β-cyclodextrin (HP-β-CD) ","Budesonide","CD- Budesonide","","","","","","","","","","","","","","","","","drug activity, Budesonide solulbility","","","","","",""
"A cyclosporin A/maltosyl- -cyclodextrin complex for inhalation therapy of asthma","Pulmonary drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Maltosyl-αCD","Cyclosporine A","CD-Cyclosporin A","","","","","","","","","","","","","","","","","","","","","","",""
"The Effect of Cyclodextrins on the In Vitro and In Vivo Properties of Insulin-Loaded Poly (D,L-Lactic-Co-Glycolic Acid) Microspheres: EFFECT OF CYCLODEXTRINS ON MICROSPHERES","Pulmonary drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD)","Insulin","CD- Insulin complex","","","","","","","","","","","","","","","","","","Insulin solubility","","","","",""
"Encapsulation of insulin–cyclodextrin complex in PLGA microspheres: a new approach for prolonged pulmonary insulin delivery","Pulmonary drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD)","Insulin","CD-insulin complex","","","","","","","","","","","","","","","","","","","Drug biavailability","","","",""
"Pulmonary Absorption of Insulin Mediated by Tetradecyl-β-Maltoside and Dimethyl-β-Cyclodextrin","Pulmonary drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD)","Insulin","CD-insulin complex","","","","","","","","","","","","","","","","","",""," pulmonary insulin absorption ","","","",""
"Effect of dimethyl‐β‐cyclodextrin concentrations on the pulmonary delivery of recombinant human growth hormone dry powder in rats","Pulmonary drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD)","Recombinant human growth hormone","CD- Recombinant human growth hormone
","","","","","","","","","","","","","","","","","","","","Enhanced absorption to the lung ","","",""
"Formulation of rifampicin–cyclodextrin complexes for lung nebulization","Pulmonary drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Randomly methylated-β-Cyclodextrin (RMβCD), 2-hydroxypropyl-β-cyclodextrin (HP-β-CD) ","Rifampicin","CD- Rifampicin complex","","","","","","","","","","","","","","","","","","","","","the amount of drug at the site of action ","",""
"Pulmonary Delivery of Salmon Calcitonin Dry Powders Containing Absorption Enhancers in Rats","Pulmonary drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Dimethyl-beta-cyclodextrin (DM-β-CD)","Salmon Calcitonin","CD-Salmon Calictonin","","","","","","","","","","","","","","","","","","","","","","The pulmonary absorption of calcitonin",""
"Inhaled Voriconazole for Prevention of Invasive Pulmonary Aspergillosis","Pulmonary drug delivery, Cyclodextrin complexes to enhance drug solubilty or bioavailabilty","Sulfobutylether-β-cyclodextrin (SBEβCD)","Voriconazole","CD-Voriconazole","","","","","","","","","","","","","","","","","","","","","","","Voriconazole solubility"
